timestamp,raw_error,smoothed_error
0,0.02336941941303129,0.02336941941303129
1,0.023544757302399858,0.023461702512698957
2,0.023753030645868436,0.02356920366885006
3,0.023658277543331167,0.023595104766401996
4,0.023683316031675294,0.023616645452898856
5,0.02392886335882111,0.023683279090481797
6,0.023698624709104207,0.0236862205371825
7,0.023936659711013896,0.023730193277335245
8,0.023892835489964584,0.023756743661360304
9,0.023638857273183236,0.023738644093430267
10,0.02379590006620978,0.023746988141364157
11,0.023855095061703066,0.023762053828406064
12,0.02415227322874729,0.02381437514515355
13,0.024109041550218088,0.02385258237413744
14,0.023771289317792686,0.0238423453575733
15,0.023898587017613562,0.023849248732976697
16,0.023550586467294972,0.023813404738285443
17,0.0236172697999022,0.023790327470329643
18,0.023374577556126104,0.023742259163412875
19,0.023621112925770984,0.02372846783622707
20,0.023585329511980484,0.02371239537089267
21,0.023611882502378244,0.023701246140249297
22,0.023636553575643295,0.02369414775861714
23,0.02377983279815845,0.023703458986065507
24,0.023772292574890636,0.02371087471891717
25,0.023880372919455065,0.023728995326249527
26,0.024281990937434415,0.023787709076503762
27,0.024148171268035777,0.023825745946230912
28,0.02423057212144017,0.02386822959844648
29,0.02452290478077902,0.023936595214322936
30,0.02423655973412485,0.023967781486274407
31,0.02391449143375718,0.023962262993426648
32,0.02392882385682447,0.02395881244699742
33,0.023844766370658424,0.02394708157038153
34,0.023904724826468902,0.02394273714835105
35,0.023660892199245012,0.023913903067752207
36,0.023995551553237824,0.023922236889194027
37,0.02415173636052535,0.023945613411185347
38,0.024442951126162224,0.023996177608778195
39,0.024394327358937987,0.024036589913337257
40,0.02429573411513168,0.024062853715483307
41,0.02400727510400367,0.0240572285064346
42,0.024114598322232266,0.02406302797885885
43,0.023750338326336155,0.024031452805873835
44,0.024075797247640165,0.024035926294496187
45,0.02438284096600151,0.024070892426460027
46,0.02405087977903383,0.02406887691273985
47,0.02400259214816759,0.02406220599130795
48,0.02406622709363881,0.02406261041745375
49,0.0240658893944002,0.024062940013813944
50,0.02370053563672999,0.02402653069520635
51,0.02402205610374155,0.02402608136028522
52,0.024081229934648864,0.02403161701574448
53,0.024020544352118114,0.02403050599257709
54,0.023996370917909574,0.024027082065234132
55,0.023779200558435565,0.02400222583514338
56,0.023353283735501565,0.023937171263402137
57,0.023333391670447047,0.023876659055884184
58,0.023365634941561925,0.02382545440524685
59,0.02348700182303499,0.023791548217256615
